time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740615705.4590185,0,0,0,34.126875,17162,100,702.8021413906823,2981.2681602637194
1740615706.4701083,0,0,0,24.1856640625,7111,35.50744362246318,1004.8376061447391,70.27553262990477
1740615707.4811583,0,0,0,24.2231640625,12845,35.51108006833565,1004.851533649738,70.15879187427203
1740615708.4924757,0,0,0,24.2665234375,18812,35.44656951192453,1004.8596595710845,70.09068076826138
1740615709.5051386,0,0,0,24.3083203125,24891,35.347592819067536,1004.8669111719458,70.02989855367255
1740615710.5181262,0,0,0,24.3462109375,30596,35.25972865851861,1004.8797463191017,69.92231646661713
1740615711.5312223,0,0,0,24.3786328125,35644,35.15423227855408,1004.876613448458,69.9485755691241
1740615712.5442047,0,0,0,24.408125,40499,35.06565261735161,1004.8772385715591,69.9433359055553
1740615713.55715,0,0,0,24.4329296875,45024,34.99379483920509,1004.873536741101,69.97436398657615
1740615714.568242,0,0,0,24.455390625,48969,34.96740453012629,1004.8642221600037,70.05243754934845
1740615715.579401,0,0,0,24.4751171875,53165,34.952171323960684,1004.8538201483873,70.13962650069223
1740615716.590507,0,0,0,24.4915234375,56692,34.9137903800735,1004.855154239017,70.12844420324241
1740615717.60164,0,0,0,24.5071484375,59895,34.83540728153132,1004.8551921022768,70.12812683500036
1740615718.6137226,0,0,0,24.5204296875,62957,34.75113584702412,1004.8547923466825,70.13147756997998
1740615719.6265757,0,0,0,24.533125,66139,34.70674436872628,1004.8551448716552,70.1285227200742
1740615720.6396224,0,0,0,24.5430859375,68688,34.6393130846495,1004.8371688676274,70.27919792070192
1740615721.6524863,0,0,0,24.5534375,71503,34.59472769277936,1004.8336347797082,70.3088209681969
1740615722.6643436,0,0,0,24.5630078125,74162,34.510227088070984,1004.8201828676657,70.4215768943714
1740615723.6754422,0,0,0,24.571796875,76745,34.41431900965734,1004.8157820627362,70.45846536074225
1740615724.6875699,0,0,0,24.58078125,78914,34.346917558631745,1004.8048065387068,70.5504650662195
1740615725.698665,0,0,0,24.588984375,80896,34.239688036287,1004.7925354612207,70.65332540214624
1740615726.7097633,0,0,0,24.5977734375,83643,34.1893832428533,1004.7898576340351,70.67577199359498
1740615727.7208679,0,0,0,24.60421875,84829,34.150231204381456,1004.7781211350554,70.77415247500069
1740615728.7313917,0,0,0,24.610078125,86673,34.08264721794686,1004.777485109652,70.77948394543027
1740615729.7424123,0,0,0,24.6157421875,88598,34.037772653734876,1004.7730760353662,70.81644299903904
1740615730.7534406,0,0,0,24.621796875,91104,33.987274112693534,1004.7796617735448,70.76123811448801
1740615731.7647817,0,0,1,24.626484375,91904,33.936663499814976,1004.7788076729952,70.76839758728818
1740615732.7778487,0,0,1,24.631171875,93756,33.89740858121967,1004.7796780912685,70.76110133170049
1740615733.7908208,0,0,1,24.6352734375,95140,33.88645331578948,1004.7830265974678,70.73303262462589
1740615734.8037813,0,0,0,24.639765625,94901,33.88120450565764,1004.7939210878113,70.64171055888376
1740615735.8166318,0,0,0,24.6450390625,95550,33.89303746937672,1004.8130091424491,70.48170862511246
1740615736.8293939,0,0,0,24.64953125,96709,33.92748140178709,1004.8256285013887,70.37593063584522
1740615737.8423493,0,0,0,24.6536328125,97440,33.97891571767583,1004.8289770623428,70.34786250912298
1740615738.8554,0,0,1,24.6575390625,98298,34.03602538673221,1004.8337265831855,70.30805146200512
1740615739.8683739,0,0,1,24.6614453125,100420,34.12722704762916,1004.828127815976,70.35498100897033
1740615740.8813694,0,0,1,24.6665234375,101515,34.1901868860963,1004.829645320358,70.34226108195429
1740615741.8947947,0,0,0,24.66984375,102134,34.235957948612246,1004.8282493907932,70.35396195183328
1740615742.9094768,0,0,0,24.6739453125,103779,34.25907965212019,1004.8350471941687,70.29698197115579
1740615743.9230006,0,0,0,24.678046875,105346,34.27652043631478,1004.8470192834684,70.19663128131762
1740615744.9355412,0,0,0,24.6821484375,106214,34.24280361524561,1004.855541915286,70.1251947175984
1740615745.9480972,0,0,1,24.686640625,106824,34.214813146463825,1004.8578128751169,70.10615965135864
1740615746.9606318,0,0,1,24.6915234375,107856,34.16414038577678,1004.8383088692568,70.26964234098676
1740615747.9725056,0,0,1,24.6969921875,110270,34.1078605819617,1004.8163259409816,70.45390645257373
1740615748.9848454,0,0,0,24.7032421875,112265,34.085736737336795,1004.8042613640787,70.55503488337729
1740615749.9974382,0,0,0,24.706953125,111816,34.05770005489551,1004.7914382293304,70.66252282176241
1740615751.0100627,0,0,0,24.7118359375,113252,33.99572843871559,1004.7891811547604,70.68144251427063
1740615752.0226204,0,0,0,24.7165234375,113482,33.939435377175194,1004.777975986498,70.77536917968759
1740615753.0353012,0,0,0,24.7208203125,114413,33.860447157968416,1004.78509676633,70.71567956237602
1740615754.0475893,0,0,0,24.726484375,117215,33.76462933656505,1004.8065574544714,70.53578837898574
1740615755.0596032,0,0,0,24.733125,116078,33.67462461918672,1004.8175624795372,70.44354151938168
1740615756.0731945,0,0,0,24.7387890625,118794,33.59024061918541,1004.8183245564309,70.43715363143863
1740615757.0850174,0,0,0,24.7419140625,117958,33.50001133843249,1004.8200535214298,70.42266109967855
1740615758.09771,0,0,0,24.746015625,118626,33.40992641490195,1004.8216758960226,70.40906204846392
1740615759.1114507,0,0,0,24.751484375,120851,33.331319787989976,1004.823838977458,70.3909307177102
1740615760.1242998,0,0,0,24.7567578125,120158,33.275323092213554,1004.8291282219332,70.34659546915698
1740615761.1372876,0,0,0,24.762421875,120590,33.21938262840138,1004.8281648499552,70.35467058495996
