Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744841856.75,0,0,12.4,2.0,3.0,5.0,21.4936328125,44.61466093036846,1001.9151442466504,94.80072571754741,93193.4
1744841861.67,0,0,14.2,2.0,3.6,4.4,21.275859375,45.427686567713614,1001.9477639762921,94.5266631410629,77532.2
1744841866.64,0,0,16.6,2.0,3.6,4.4,21.204804687499998,44.94957738341923,1001.9487569133831,94.51832051258779,90450.0
1744841871.68,0,0,22.0,2.0,3.6,4.4,21.080585937499997,44.447359037340604,1001.9262472522671,94.70744016264422,93976.4
1744841876.64,0,0,17.6,2.0,3.6,4.4,21.022734375,44.375193248647975,1001.9194947569813,94.76417337100227,94317.2
1744841881.66,0,0,18.6,2.0,3.8,5.0,21.023359375,44.77656733571736,1001.9165173801009,94.78918885787314,94708.6
1744841886.64,0,0,20.6,2.0,3.8,5.0,21.0340234375,44.97998257300759,1001.9170595693242,94.78463344666133,96341.2
1744841891.67,0,0,17.0,2.0,4.0,5.0,21.0519140625,45.082010978262474,1001.9202050418793,94.75820568240576,97102.2
1744841896.64,0,0,18.6,2.0,4.0,5.0,21.080898437499997,45.26718722218251,1001.9329173830132,94.65139932674994,98220.8
1744841901.7,0,0,19.4,2.0,3.0,4.0,21.1146875,45.45432616239048,1001.9421468864468,94.57385560508074,98852.6
1744841906.64,0,0,16.6,2.0,3.0,4.0,21.155624999999997,45.452930318548994,1001.9589207261612,94.43292801515204,99977.6
1744841911.66,0,0,16.4,2.0,3.0,4.0,21.1737890625,45.442797940763384,1001.970473487235,94.33586717053427,100917.6
1744841916.65,0,0,16.2,2.0,3.0,4.0,21.1916015625,45.564710969589086,1001.9655095283772,94.37757204742738,101075.8
1744841921.67,0,0,18.2,2.0,3.0,4.0,21.2273828125,45.66062915461132,1001.9725031327338,94.31881522255992,102465.0
1744841926.64,0,0,17.2,2.0,3.0,4.0,21.241367187499996,45.33082361577234,1001.9657076194668,94.3759076252459,103583.4
1744841931.67,0,0,17.6,2.0,3.0,3.0,21.2523046875,45.15988142305798,1001.9619694287442,94.40731413410819,104618.2
1744841936.65,0,0,15.2,2.0,3.0,3.0,21.2796875,44.91906307716674,1001.9561275368549,94.45639521507437,105461.0
1744841941.66,0,0,16.8,1.4,3.0,3.0,21.3197265625,44.69948892887168,1001.953663183794,94.47709974289747,106570.2
