Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1744841685.67,0,0,11.0,2.0,3.0,3.0,20.7416796875,47.01191885008452,1001.8505659892944,95.34331781962328,11406.2
1744841690.66,0,0,11.4,2.0,3.0,3.0,20.8717578125,46.65642164695409,1001.858420117305,95.27732525958842,18641.0
1744841695.67,0,0,12.2,2.0,3.0,3.0,20.918085937500003,46.134710054342854,1001.8509584139741,95.34002064099126,25334.8
1744841700.63,0,0,12.8,2.0,3.0,3.0,20.9794921875,45.463294333334716,1001.8544152409229,95.31097540291948,31208.0
1744841705.66,0,0,12.8,1.8,2.8,2.8,21.059570312499996,45.322122622724386,1001.8894371092356,95.01671648592955,36620.6
1744841710.63,0,0,11.0,1.8,2.8,2.8,21.115468749999998,45.221094472447874,1001.9198508714138,94.76118163759539,41547.4
1744841715.66,0,0,13.2,1.0,2.0,2.0,21.1382421875,44.795734857709604,1001.936306004903,94.62292891128816,46032.6
1744841720.64,0,0,12.8,1.0,2.0,2.0,21.155078125,44.5518108673372,1001.9312182163987,94.66567519006159,49727.8
1744841725.66,0,0,15.4,1.0,2.0,2.0,21.134804687499997,44.27611558218956,1001.927496901227,94.69694083286717,53493.4
1744841730.65,0,0,13.6,1.0,2.0,2.0,21.183515625,44.21120377204364,1001.9318011698517,94.66077738157033,56929.2
1744841735.67,0,0,14.2,1.0,2.2,2.2,21.2467578125,44.33976389970741,1001.9414189616825,94.57997134173691,59671.8
1744841740.64,0,0,16.6,1.0,2.2,2.2,21.29765625,44.300576602187945,1001.9361809422956,94.62397964660093,62905.2
1744841745.68,0,0,15.8,1.0,3.0,3.0,21.305390625,44.33424349508423,1001.931258946786,94.6653329955597,65730.6
1744841750.61,0,0,16.6,1.0,3.0,3.0,21.305390625,44.33424349508423,1001.931258946786,94.6653329955597,65730.6
1744841755.66,0,0,18.0,1.0,3.0,3.0,21.3453125,44.19548637733889,1001.9427386615432,94.56888372638404,68142.4
1744841760.64,0,0,18.0,1.0,3.0,3.0,21.350468749999997,43.88319545959674,1001.9361934005385,94.62387500103542,70595.4
1744841765.68,0,0,17.6,1.0,3.0,3.0,21.312890625,43.65379490869699,1001.9288586196551,94.6855001548047,72995.2
1744841770.62,0,0,18.4,1.0,3.0,3.0,21.253515625,43.49964010153362,1001.928761691036,94.6863144096557,75364.6
1744841775.74,0,0,18.8,1.0,3.0,3.6,21.2330078125,43.537256574509556,1001.9373574725699,94.61409479968862,76641.0
1744841780.65,0,0,15.4,1.0,3.0,3.6,21.198671875000002,43.77292023881437,1001.9352358562768,94.63192014129763,78582.4
1744841785.72,0,0,14.6,1.0,3.0,4.0,21.191796875,43.7842570450487,1001.9339287259363,94.6429022245459,80490.0
1744841790.66,0,0,19.2,1.0,3.0,4.0,21.199570312499997,43.92208465212366,1001.92399985876,94.72632226211927,81163.0
1744841795.67,0,0,19.0,1.6,2.8,3.8,21.191796875,44.64971016026941,1001.9161682960545,94.79212177567102,83032.4
1744841800.64,0,0,17.0,1.6,2.8,3.8,21.193828125,45.2167264871004,1001.9118343208814,94.82853530760528,83623.0
1744841805.67,0,0,15.4,1.6,2.6,3.6,21.2485546875,45.879981916914,1001.9229320289569,94.73529398676374,85164.6
1744841810.64,0,0,15.2,1.6,2.6,3.6,21.3012890625,45.7599194824768,1001.9289911757921,94.6843862667104,87426.4
1744841815.66,0,0,16.0,2.0,3.0,5.0,21.35609375,44.982766517856646,1001.9278654512418,94.69384436119114,89465.6
1744841820.64,0,0,19.2,2.0,3.0,5.0,21.40859375,44.69012037915964,1001.9335236371198,94.6463056160841,90416.0
